column,role,baseline_encoding,distinct,min,max
laufkont,predictor,one-hot encoding,4,1,4
laufzeit,predictor,scale for logistic regression,33,4,72
moral,predictor,one-hot encoding,5,0,4
verw,predictor,one-hot encoding,10,0,10
hoehe,predictor,scale for logistic regression,923,250,18424
sparkont,predictor,one-hot encoding,5,1,5
beszeit,predictor,one-hot encoding,5,1,5
rate,predictor,one-hot encoding,4,1,4
famges,predictor,one-hot encoding,4,1,4
buerge,predictor,one-hot encoding,3,1,3
wohnzeit,predictor,one-hot encoding,4,1,4
verm,predictor,one-hot encoding,4,1,4
alter,predictor,scale for logistic regression,53,19,75
weitkred,predictor,one-hot encoding,3,1,3
wohn,predictor,one-hot encoding,3,1,3
bishkred,predictor,one-hot encoding,4,1,4
beruf,predictor,one-hot encoding,4,1,4
pers,predictor,one-hot encoding,2,1,2
telef,predictor,one-hot encoding,2,1,2
gastarb,predictor,one-hot encoding,2,1,2
kredit,target_original,y_bad = 1 - kredit,2,0,1
